Data,Time
303.0,6785.0
304.0,6795.0
300.0,6806.0
307.0,6816.0
297.0,6827.0
309.0,6837.0
295.0,6848.0
310.0,6858.0
294.0,6868.0
311.0,6879.0
293.0,6889.0
312.0,6900.0
293.0,6910.0
311.0,6921.0
295.0,6931.0
310.0,6942.0
297.0,6952.0
308.0,6963.0
299.0,6973.0
305.0,6984.0
302.0,6994.0
302.0,7005.0
305.0,7015.0
299.0,7026.0
307.0,7036.0
296.0,7047.0
309.0,7057.0
294.0,7068.0
310.0,7078.0
293.0,7089.0
311.0,7099.0
292.0,7110.0
311.0,7120.0
293.0,7131.0
310.0,7141.0
295.0,7152.0
309.0,7162.0
297.0,7173.0
307.0,7183.0
300.0,7194.0
304.0,7204.0
303.0,7215.0
301.0,7225.0
305.0,7236.0
298.0,7246.0
308.0,7257.0
295.0,7267.0
309.0,7278.0
294.0,7288.0
310.0,7299.0
293.0,7309.0
311.0,7320.0
292.0,7330.0
311.0,7341.0
293.0,7351.0
310.0,7362.0
296.0,7372.0
308.0,7383.0
298.0,7393.0
306.0,7404.0
301.0,7414.0
303.0,7425.0
303.0,7435.0
300.0,7446.0
306.0,7456.0
297.0,7467.0
308.0,7477.0
295.0,7487.0
310.0,7498.0
294.0,7508.0
311.0,7519.0
293.0,7529.0
311.0,7540.0
293.0,7550.0
311.0,7561.0
295.0,7571.0
310.0,7582.0
297.0,7592.0
308.0,7603.0
299.0,7613.0
305.0,7624.0
302.0,7634.0
302.0,7645.0
305.0,7655.0
299.0,7666.0
307.0,7676.0
296.0,7687.0
309.0,7697.0
294.0,7708.0
310.0,7718.0
293.0,7729.0
311.0,7739.0
293.0,7750.0
311.0,7760.0
293.0,7771.0
310.0,7781.0
295.0,7792.0
309.0,7802.0
297.0,7813.0
307.0,7823.0
300.0,7834.0
304.0,7844.0
303.0,7855.0
301.0,7865.0
305.0,7876.0
298.0,7886.0
308.0,7897.0
295.0,7907.0
309.0,7918.0
294.0,7928.0
310.0,7939.0
293.0,7949.0
311.0,7960.0
292.0,7970.0
311.0,7981.0
294.0,7991.0
310.0,8002.0
296.0,8012.0
308.0,8023.0
298.0,8033.0
306.0,8044.0
301.0,8054.0
303.0,8065.0
303.0,8075.0
300.0,8086.0
306.0,8096.0
297.0,8107.0
308.0,8117.0
295.0,8128.0
310.0,8138.0
294.0,8148.0
311.0,8159.0
293.0,8170.0
311.0,8180.0
293.0,8190.0
311.0,8201.0
294.0,8212.0
309.0,8222.0
296.0,8232.0
307.0,8243.0
299.0,8254.0
305.0,8264.0
301.0,8274.0
302.0,8285.0
304.0,8295.0
299.0,8306.0
307.0,8316.0
296.0,8327.0
308.0,8337.0
294.0,8348.0
310.0,8358.0
293.0,8369.0
311.0,8379.0
292.0,8390.0
311.0,8400.0
293.0,8411.0
310.0,8421.0
294.0,8432.0
309.0,8442.0
297.0,8453.0
307.0,8463.0
299.0,8474.0
304.0,8484.0
302.0,8495.0
301.0,8505.0
305.0,8516.0
298.0,8526.0
307.0,8537.0
295.0,8547.0
309.0,8558.0
294.0,8568.0
310.0,8579.0
293.0,8589.0
311.0,8600.0
292.0,8610.0
311.0,8621.0
293.0,8631.0
310.0,8642.0
295.0,8652.0
308.0,8663.0
297.0,8673.0
306.0,8684.0
300.0,8694.0
303.0,8705.0
303.0,8715.0
300.0,8726.0
305.0,8736.0
297.0,8747.0
308.0,8757.0
295.0,8768.0
309.0,8778.0
293.0,8788.0
310.0,8799.0
292.0,8810.0
311.0,8820.0
292.0,8830.0
310.0,8841.0
293.0,8852.0
309.0,8862.0
296.0,8872.0
307.0,8883.0
298.0,8893.0
305.0,8904.0
300.0,8914.0
302.0,8925.0
303.0,8935.0
299.0,8946.0
306.0,8956.0
296.0,8967.0
308.0,8977.0
294.0,8988.0
309.0,8998.0
293.0,9009.0
310.0,9019.0
292.0,9030.0
